Date : 2024-11-22 08:35:09
Directory : /Users/zoltantakacs/_code/py/artegame
Total : 61 files,  6425 codes, 664 comments, 1850 blanks, all 8939 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
| /Users/zoltantakacs/_code/py/artegame/src/global_routines/menus.py          | Python   |         57 |          2 |         27 |         86 |
| /Users/zoltantakacs/_code/py/artegame/src/global_routines/projectiles.py    | Python   |        160 |         10 |         26 |        196 |
| /Users/zoltantakacs/_code/py/artegame/src/global_routines/round_manager.py  | Python   |        133 |          2 |         33 |        168 |
| /Users/zoltantakacs/_code/py/artegame/src/global_routines/sounds.py         | Python   |         36 |          0 |         19 |         55 |
| /Users/zoltantakacs/_code/py/artegame/src/global_routines/spells.py         | Python   |        121 |          1 |         47 |        169 |
| /Users/zoltantakacs/_code/py/artegame/src/scenes/default/routines/conf.py   | Python   |          9 |          5 |          4 |         18 |
| /Users/zoltantakacs/_code/py/artegame/src/scenes/default/routines/main.py   | Python   |         13 |          6 |          6 |         25 |
| /Users/zoltantakacs/_code/py/artegame/src/scenes/default/ui/index.py        | Python   |         84 |         12 |         14 |        110 |
| /Users/zoltantakacs/_code/py/artegame/src/scenes/defeat/routines/conf.py    | Python   |          9 |          5 |          4 |         18 |
| /Users/zoltantakacs/_code/py/artegame/src/scenes/defeat/routines/main.py    | Python   |         13 |          6 |          6 |         25 |
| /Users/zoltantakacs/_code/py/artegame/src/scenes/defeat/ui/index.py         | Python   |        106 |         10 |         14 |        130 |
| /Users/zoltantakacs/_code/py/artegame/src/scenes/game/routines/conf.py      | Python   |        298 |        109 |         13 |        420 |
| /Users/zoltantakacs/_code/py/artegame/src/scenes/game/routines/main.py      | Python   |         24 |          7 |          7 |         38 |
| /Users/zoltantakacs/_code/py/artegame/src/scenes/game/routines/player.py    | Python   |        460 |         51 |        128 |        639 |
| /Users/zoltantakacs/_code/py/artegame/src/scenes/game/ui/index.py           | Python   |        503 |         29 |         15 |        547 |
| Total                                                                       |          |      6,425 |        664 |      1,850 |      8,939 |
+-----------------------------------------------------------------------------+----------+------------+------------+------------+------------+
